SURFACE  (  418 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    2.60000   2.60000   3.10000 125.00000 100.00000 -10.00000   -344.82993710   -344.82994435   0.7245469E-05
    2.80000   3.00000   3.10000 125.00000 100.00000 -10.00000   -344.83442460   -344.83441705  -0.7545338E-05
    2.60000   2.80000   2.90000 125.00000 100.00000 -10.00000   -344.82314270   -344.82314561   0.2906979E-05
    2.80000   2.60000   2.90000 125.00000 100.00000 -10.00000   -344.82273350   -344.82273462   0.1120694E-05
    2.80000   2.80000   3.30000 125.00000 100.00000 -10.00000   -344.83302420   -344.83301691  -0.7291824E-05
    2.60000   2.80000   3.10000 100.00000 100.00000 -10.00000   -344.81258250   -344.81256093  -0.2157067E-04
    2.80000   2.60000   3.10000 100.00000 100.00000 -10.00000   -344.81258250   -344.81256091  -0.2158570E-04
    2.80000   2.80000   2.90000 100.00000 100.00000 -10.00000   -344.80457130   -344.80455217  -0.1912653E-04
    2.80000   2.80000   3.10000 150.00000 100.00000 -10.00000   -344.83520980   -344.83516978  -0.4001737E-04
    2.60000   2.80000   3.10000 125.00000 150.00000 -10.00000   -344.81980620   -344.81980063  -0.5566605E-05
    2.80000   2.60000   3.10000 125.00000 150.00000 -10.00000   -344.81980990   -344.81980432  -0.5578460E-05
    2.80000   2.80000   2.90000 125.00000 150.00000 -10.00000   -344.81550640   -344.81551082   0.4417153E-05
    2.80000   2.80000   3.10000 100.00000 150.00000 -10.00000   -344.83520980   -344.83516976  -0.4003814E-04
    2.80000   2.80000   3.10000 125.00000  75.00000 -10.00000   -344.80416470   -344.80420405   0.3935428E-04
    3.00000   2.80000   3.10000 125.00000 125.00000  10.00000   -344.84326450   -344.84327077   0.6272219E-05
    2.60000   2.60000   3.10000 125.00000 125.00000  10.00000   -344.83866720   -344.83865817  -0.9029973E-05
    2.80000   3.00000   3.10000 125.00000 125.00000  10.00000   -344.84326450   -344.84327076   0.6264170E-05
    2.60000   2.80000   2.90000 125.00000 125.00000  10.00000   -344.83264220   -344.83263264  -0.9562168E-05
    2.80000   2.60000   2.90000 125.00000 125.00000  10.00000   -344.83264220   -344.83263265  -0.9554639E-05
    2.80000   2.80000   3.30000 125.00000 125.00000  10.00000   -344.84117860   -344.84119024   0.1163862E-04
    2.60000   2.80000   3.10000 100.00000 125.00000  10.00000   -344.83367970   -344.83367935  -0.3548297E-06
    2.80000   2.60000   3.10000 100.00000 125.00000  10.00000   -344.83403230   -344.83402963  -0.2669746E-05
    2.80000   2.80000   2.90000 100.00000 125.00000  10.00000   -344.82708800   -344.82709442   0.6419435E-05
    2.80000   2.80000   3.10000 150.00000 125.00000  10.00000   -344.82492080   -344.82492454   0.3737321E-05
    2.60000   2.80000   3.10000 125.00000 100.00000  10.00000   -344.83403230   -344.83402964  -0.2661575E-05
    2.80000   2.60000   3.10000 125.00000 100.00000  10.00000   -344.83367970   -344.83367935  -0.3489116E-06
    2.80000   2.80000   2.90000 125.00000 100.00000  10.00000   -344.82708800   -344.82709443   0.6431040E-05
    2.80000   2.80000   3.10000 100.00000 100.00000  10.00000   -344.81675940   -344.81675136  -0.8044746E-05
    2.80000   2.80000   3.10000 125.00000 150.00000  10.00000   -344.82492080   -344.82492456   0.3756399E-05
    2.60000   2.80000   3.10000 125.00000 125.00000 -20.00000   -344.84125840   -344.84126758   0.9176128E-05
    2.80000   2.60000   3.10000 125.00000 125.00000 -20.00000   -344.84125840   -344.84126758   0.9183160E-05
    2.80000   2.80000   2.90000 125.00000 125.00000 -20.00000   -344.83523270   -344.83523091  -0.1792815E-05
    2.80000   2.80000   3.10000 100.00000 125.00000 -20.00000   -344.83740990   -344.83741475   0.4849954E-05
    2.80000   2.80000   3.10000 125.00000 100.00000 -20.00000   -344.83740990   -344.83741475   0.4852252E-05
    2.80000   2.80000   3.10000 125.00000 125.00000  30.00000   -344.84282970   -344.84282609  -0.3607639E-05
    2.80000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84722880   -344.84723537   0.6569719E-05
    2.70000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84640640   -344.84641190   0.5504843E-05
    2.80000   2.70000   3.10000 125.00000 125.00000   0.00000   -344.84640640   -344.84641190   0.5504586E-05
    2.80000   2.80000   3.00000 125.00000 125.00000   0.00000   -344.84481490   -344.84483059   0.1568977E-04
    2.80000   2.80000   3.10000 120.00000 125.00000   0.00000   -344.84768240   -344.84768986   0.7455449E-05
    2.80000   2.80000   3.10000 125.00000 120.00000   0.00000   -344.84768240   -344.84768986   0.7457142E-05
    2.80000   2.80000   3.10000 125.00000 125.00000  -5.00000   -344.84711400   -344.84711979   0.5793637E-05
    2.90000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84619430   -344.84619967   0.5367209E-05
    2.70000   2.70000   3.10000 125.00000 125.00000   0.00000   -344.84556980   -344.84557781   0.8008883E-05
    2.80000   2.90000   3.10000 125.00000 125.00000   0.00000   -344.84619430   -344.84619967   0.5367371E-05
    2.70000   2.80000   3.00000 125.00000 125.00000   0.00000   -344.84395810   -344.84397549   0.1738734E-04
    2.80000   2.70000   3.00000 125.00000 125.00000   0.00000   -344.84395810   -344.84397550   0.1739545E-04
    2.80000   2.80000   3.20000 125.00000 125.00000   0.00000   -344.84582110   -344.84581945  -0.1653611E-05
    2.70000   2.80000   3.10000 120.00000 125.00000   0.00000   -344.84690150   -344.84690970   0.8201362E-05
    2.80000   2.70000   3.10000 120.00000 125.00000   0.00000   -344.84691240   -344.84692384   0.1143760E-04
    2.80000   2.80000   3.00000 120.00000 125.00000   0.00000   -344.84520670   -344.84521225   0.5547538E-05
    2.80000   2.80000   3.10000 130.00000 125.00000   0.00000   -344.84554200   -344.84553042  -0.1158265E-04
    2.70000   2.80000   3.10000 125.00000 120.00000   0.00000   -344.84691240   -344.84692384   0.1143835E-04
    2.80000   2.70000   3.10000 125.00000 120.00000   0.00000   -344.84690150   -344.84690971   0.8206156E-05
    2.80000   2.80000   3.00000 125.00000 120.00000   0.00000   -344.84520670   -344.84521225   0.5551709E-05
    2.80000   2.80000   3.10000 120.00000 120.00000   0.00000   -344.84743330   -344.84740902  -0.2427969E-04
    2.80000   2.80000   3.10000 125.00000 130.00000   0.00000   -344.84554200   -344.84553042  -0.1158455E-04
    2.70000   2.80000   3.10000 125.00000 125.00000  -5.00000   -344.84628880   -344.84629434   0.5543323E-05
    2.80000   2.70000   3.10000 125.00000 125.00000  -5.00000   -344.84628880   -344.84629434   0.5543506E-05
    2.80000   2.80000   3.00000 125.00000 125.00000  -5.00000   -344.84469320   -344.84470945   0.1625364E-04
    2.80000   2.80000   3.10000 120.00000 125.00000  -5.00000   -344.84758280   -344.84758826   0.5457794E-05
    2.80000   2.80000   3.10000 125.00000 120.00000  -5.00000   -344.84758280   -344.84758826   0.5460366E-05
    2.80000   2.80000   3.10000 125.00000 125.00000   5.00000   -344.84711400   -344.84711979   0.5793637E-05
    2.60000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84323460   -344.84322395  -0.1065180E-04
    2.90000   2.70000   3.10000 125.00000 125.00000   0.00000   -344.84538370   -344.84538668   0.2976807E-05
    2.70000   2.90000   3.10000 125.00000 125.00000   0.00000   -344.84538370   -344.84538668   0.2977833E-05
    2.80000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.84323460   -344.84322395  -0.1065228E-04
    2.90000   2.80000   3.00000 125.00000 125.00000   0.00000   -344.84381490   -344.84383052   0.1561556E-04
    2.70000   2.70000   3.00000 125.00000 125.00000   0.00000   -344.84308530   -344.84310723   0.2193359E-04
    2.80000   2.90000   3.00000 125.00000 125.00000   0.00000   -344.84381490   -344.84383051   0.1560958E-04
    2.70000   2.80000   3.20000 125.00000 125.00000   0.00000   -344.84502620   -344.84502257  -0.3625167E-05
    2.80000   2.70000   3.20000 125.00000 125.00000   0.00000   -344.84502620   -344.84502257  -0.3632164E-05
    2.80000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.83732270   -344.83730370  -0.1899860E-04
    2.90000   2.80000   3.10000 120.00000 125.00000   0.00000   -344.84660600   -344.84660998   0.3978700E-05
